question,answer
Saat saya masih kuliah ayah saya meninggal dunia dikarenakan penyakit ginjal yang langka. Apa saja penyakit ginjal yang ada? Haruskah setiap sakit ginjal mencunci darah?,"Bacalah Penyakit Ginjal Banyak sekali macamnya penyakit ginyal, suatu buku pun tidak cukup menjelaskannya. Cuci darah itu hanya perlu jika fungsinya kurang daripada 5–10%. Kalau tidak akan meningal keracunan penyakit ginjal."
Apakah benar micin menjadi penyebab kanker?,"Pengalaman saya pribadi, ini efek jangka pendek. MSG mengakibatkan mual dan muntah jika kandungan msg dalam makanan melebihi batas dari porsi makanan itu sendiri. Contoh nyata, saya pernah beli french fries ala ala, bumbu dalam adonan crispy mengandung banyak msg alhasil. baru makan 4 batang sudah mual, pusing juga dan akhirnya muntah. Untuk jangka panjang mungkin ada yg bisa lebih menjelaskan berdasarkan pengalamannya. Oiya, mungkin jadi bego salah satunya…mungkin…"
Apakah aktivitas antioksidan benar-benar dapat mencegah kanker?,"Jika mau menggunakan bahasa yang paling ilmiah, jawabannya adalah “tidak”. Antioksidan hanya ada “mengurangi/ menurunkan resiko kanker”, bukan “mencegah”, apalagi “mengobati”. Mungkin ada pertanyaan lanjutan ini, “Kalau begitu senyawa apa yang bisa mencegah?” Jawabannya: “tidak ada”. Hanya Tuhan yang bisa mencegah :)"
Bagaimana cara kerja ginjal?,"ginjal dalam tubuh manusia itu diawali dari proses penyaringan darah yang akan dialirkan dari arteri ginjal menuju pada ginjal. Dalam arteri ginjal air dan juga larutan yang ada akan di saring dan sebagian dari larutan yang tidak dapat terfilter kemudian di alirkan lagi ke sebuah sistem sirkulasi dan akan melewati sebuah vena sehingga terjadi sebuah penyaringan. Darah yang ada di dalam tubuh akan menuju sebuah kapiler glomerulus, dalam glomerulus air dan juga zat yang sudah terlarut akan disaring sehingga akan menghasilkan cairan urin primer dan kemudian akan masuk dalam kapsula bowman. Jadi dapat dikatakan jika hampir setiap hari ginjal manusia di lewati darah hampir 350 kali. Cara kerja ginjal yang ke dua adalah mengatur berjalannya proses penyaringan glomerular yang sering digunakan untuk tes dalam diagnose pada fungsi ginjal. Dalam sebuah filtrar glomeruli tersebut masih terdapat adanya suatu zat yang dapat digunakan untuk dimanfaatkan bagi tubuh manusia. Zat zat tersebut meliputi asam amino, glukosa, garam, air dan zat zat tersebut kemudian akan melalui sebuah tubulus proksimal yang terdapat pada bagian korteks, pada medulla atau lengkung henle sampai pada bagian tubulus distal. Sebetulnya masih banyak lagi cara kerja ginjal yang lainnya, dan mungkin akan saya bahas kembali pada kesempatan kesempatan yang akan dating. Semoga sedikit ilmu di atas dapat bermanfaat bagi kita semua."
Di mana saya bisa menjual ginjal?,"Halo, apakah ada yang bisa bantu terkait hal ini. saya terpaksa menanyakan hal ini karena kondisi perekonomian keluarga kami yang sedang down bahkan terpuruk. sehingga saya berpikir untuk menjual salah satu organ milik saya, karena saya sebagai tulang punggung keluarga (kedua orang tua sudah tidak bekerja). status saya saat ini sebagai karyawan di salah satu perusahaan swasta di Surabaya, dengan usia 24 tahun tb 165cm bb 74kg. hidup dengan gaji saya yang setara dengan UMR bisa dibilang kurang karena ada hutang yang harus saya bayar perbulannya. hutang ini timbul karena keadaan orang tua dulu saat masih bekerja, dan berhubung pandemi berimbas pada hutang yang belum terbayar. apabila di total, hutang keluarga kami kurang lebih tersisa 50jt. namun, dengan status saya yang hanya sebagai karyawan biasa dan hidup di perantauan surabaya ini sendiri uang tsb tidak cukup. bahkan keluarga kami pernah dan mungkin akan dapat di somasi karena dianggap tidak dapat melunasi hutang tersebut padahal beberapa kali saya coba nego dan minta keringanan waktu kembali. setiap hari pikiran saya dipenuhi rasa kalut, kebingungan, tidak tau harus bagaimana, tidak bisa tidur atau kalaupun ingin tidur saya akan minum obat tidur yang banyak agar bisa tidur seharian (walau jarang berhasilnya hihi). tapi jangan khawatir, saya sehat jasmani kok, tidak ada riwayat penyakit apapun dan saya orang yang menjaga pola hidup sehat (setidaknya). saya sangat berterimakasih apabila ada diantara kalian yang memberi channel, kenalan, link, atau apapun itu kepada tetangga, saudara, sepupu, teman atau orang terkasih yang saat ini membutuhkan donor ginjal dari saya. oh iya golongan darah saya adalah O. sempat beberapa kali merasa down dan tidak ada harapan hidup karena perasaan lelah yang tak kunjung usai, tapi tiba-tiba teringat kedua orang tua saya. bagaimana kalau saya meninggal? maka hutang tersebut akan dilimpahkan ke orang tua saya sedangkan mereka sudah tua? tidak. saya tidak sanggup berpikir kesana sehingga niat untuk menghilang saya urungkan. saya ucapkan banyak amat terima kasih kepada manusia yang tidak sengaja membaca ungkapan saya ini dan membantu orang yang butuh donor ginjal dari saya. semoga Tuhan selalu memberimu kebahagiaan yang melimpah."
Benarkah tanaman bajakah bisa menyembuhkan kanker?,"Selaras dengan jawaban Maharani Zaini tentang ini. Hampir semua tanaman memang mengandung komposisi antikanker. Tetapi kandungan yang dimiliki oleh tumbuhan jumlahnya ribuan. Dan yang berpotensi untuk menyembuhkan kanker hanya sedikit. Lantas kenapa dokter dan praktisi kesehatan legal tidak menganjurkan pengobatan herbal? Karena bahan aktif yang bermanfaat untuk menyembuhkan kanker wajib diekstrak dan dipisahkan dari bahan lain yang berpotensi bahaya. Analogi sederhananya = Saya ambil contoh tanaman Bajakah ini Di dalam Bajakah memiliki komposisi kimia A,B,C,D, E, dan seterusnya hingga Z. Bahan aktif yang berpotensi menyembuhkan kanker misalnya adalah L. Namun Bajakah juga memiliki bahan V,X,F dan H yang berbahaya untuk penyakit tertentu dan juga beresiko dikonsumsi dalam jumlah banyak. Ilmuwan wajib memisahkan L dari bahan V,X,F, dan H ini sebelum diberikan ke pasien. Obat antikanker yang disetujui ilmu kedokteran, hanya mengandung L saja. Sedangkan jika pasien mengkonsumsi herbal atau tumbuhan utuh, tidak menjalani proses ekstraksi, dan masih mengandung bahan V,X,F, dan H yang berbahaya. Dan sebagai tambahan, Jenis obat kanker itu berbeda, harus disesuaikan dengan=Jenis kankerStadium KankerPenyakit PenyertaKonsumsi Obat lainJadi mustahil 1 jenis obat kanker bisa menyembuhkan semua tipe kanker. Kalaupun ilmuwan berhasil mengekstrak bahan L dari Bajakah. Bahan L ini pun harus diteliti kecocokannya dengan jenis kanker tertentu. Jika ampuh untuk kanker paru, belum tentu ampuh untuk kanker prostat. Percayakan kesehatan anda ke ahlinya. Jangan mudah terpengaruh ahli pengobatan alternatif yang tidak menjalani pendidikan resmi dan tidak memiliki kejelasan hukum."
Apakah kanker stadium 3 bisa disembuhkan?,Harapan untuk sembuh selalu ada. Jangan putus asa. Setiap pengorbanan yg kita lakukan untuk meraih kesembuhan akan menjadi kado istimewa kelak di kemudian hari. Jika seandai nya pun tidak tersembuhkan bukan berarti dunia akan runtuh.
Apakah kanker benar benar bisa sembuh dengan pengobatan alternatif?,"Karena oengobatan alternatif belum pernah terbukti ada effek baik kepadakanker, jawaban ya TIDAK. Orang yang ngakunya sembuh setelah memakai pengobatan alternatif belum pernah terbukti (jadi bukan X foto saja, perlu pemeriksaan jaringen kanker), jadi bisa “sembuh”."
Apakah diet ketogenik dapat menyembuhkan kanker?,"What the hell! Pertanyaan ini tidak muncul karena ada yang nyebarin ke media sosial kan? Pesan saya: jangan main-main sama kanker, karena pasien kanker berpacu dengan waktu. Jika sampai coba-coba pengobatan dan stadiumnya udah bablas parah, kita nggak bisa memutar balik waktu lo. Pengobatan kanker ya pakai obat-obatan kanker, bukan pake obat herbal, apalagi diet-diet ga jelas. Apalagi sampai ngeklaim bahwa dengan diet (((saja))) bisa nyembuhin kanker 🤦"
Kanker apa yang paling bahaya dan tidak bisa diobati?,"Kanker apapun semua sama, sangat berbahaya. Mungkin tingkat rasa sakit nya yg berbeda. Terlebih kanker yg sudah menyebar dari organ tubuh yg satu ke organ tubuh yg lain (metatase) karena akan lebih sulit pengobatan nya. Dan itu saya ketahui dari kanker payudara yg telah menyebar ke otak dan paru-paru yg di alami istri saya. Berat badan menyusut sangat cepat, kelumpuhan, rasa nyeri (pusing) yg sulit di tahan belum lagi rasa nyeri di tulang."
"Untuk pasien kanker, benarkah pengobatan kanker (kemoterapi, terapi radiasi, dll.) lebih menyakitkan daripada menderita penyakit kanker itu sendiri?",Why is chemo more dangerous than cancer itself?
Berapa besar kesuksesan Kemoterapi untuk pasien kanker? Apa efek penggunaannya dalam jangka panjang?,"Saya akan mencoba untuk menjawab pertanyaan ini: Untuk kesuksesan kemoterapi, kita harus melihat angka kelangsungan hidup atau cancer survival rate masing-masing kanker. Durasi kelangsungan hidup biasanya diukur 5 hingga 10 tahun. Contohnya: angka kelangsungan hidup 5-tahun penderita kanker payudara di Amerika Serikat, Eropa dan Australia pada 2010–2014 adalah 85–90 persen [1] bandingkan dengan 39–65 persen pada tahun 2005–2009 [2] dan lebih jauh lagi pada tahun 1990–1994. Rata-rata angka kelangsungan hidup 5-tahun pada semua jenis kanker adalah 67 persen[3] Kenaikan angka kelangsungan hidup 5-tahun penderita kanker bergantung pada seberapa dini diagnosa, jenis kanker, stadium berapa kanker yang dihadapi dan seberapa agresif penanganan yang diberikan, termasuk kemoterapi, radioterapi dan bedah. Sebagai catatan, angka kelangsungan hidup di atas tidaklah mutlak. Itu dikarenakan variasi data penderita kanker dari negara ke negara. Penggunaan kemoterapi jangka panjang dimaksudkan untuk menekan sel-sel kanker hingga memasuki tahap remisi atau tidak berkembang lagi, dan bukanlah rahasia umum bahwa kemoterapi jangka panjang akan membawa efek samping yang merugikan tubuh. Di bawah inj, saya uraikan jenis obat kemoterapi dan efek sampingnya:Alkylating Agents -obat keras ini bekerja dengan memasukkan senyawa alkil sehingga transkripsi DNA dan RNA pada sel kanker terganggu, tetapi efek sampingnya adalah mual dan muntah serta penurunan fungsi sumsum tulang sehingga sel darah merah dan sel darah putih menurunPlant Alkaloid - terbuat dari senyawa alkaloid yang diperoleh dari tumbuh-tumbuhan, obat ini bekerja dengan menghambat proses pembagian sel kanker. Efek samping obat adalah gangguan pada saraf(polineuropati perifer), rambut rontok (alopecia), penurunan fungsi sumsum tulang dan hipersensitivitas.Antimetabolites-fungsi obat ini adalah mengganti metabolit penting bagi sel dengan senyawa yang mirip, contohnya purin, pirimidin dan asam folat, sehingga sel kanker tidak dapat bereproduksi. Efek sampingnya adalah demam tinggi, mual muntah, sariawan, diare, masalah ginjal dan liver plus efek samping dua obat di atasTopoisomerase Inhibitor- obat ini bekerja dengan menghambat enzim topoisomerase I dan II yang mengatur struktur DNA dalam sel. Efek samping adalah alergi/hipersensitivitas, nyeri perut, diare, sariawan, demam tinggiAnti Tumor Antibiotics -berbeda dengan antibiotik biasa yang bekerja pada bakteri, antibiotik ini bekerja dengan menghambat enzim yang membentuk DNA dalam sel. Sebagian besar terbuat dari jamur Streptomyces. Efek sampingnya adalah ruam-ruam merah di kulit, gangguan penglihatan dan paling jarang, masalah jantung.Selain 5 golongan obat di atas, masih ada obat-obat kemoterapi lainnya seperti hormon, enzim, retinoid dan sebagainya. Dalam pemilihan obat kemoterapi, dokter harus mempertimbangkan kondisi pasien, lama pemakaian, kebaikan pemakaian lebih besar daripada efek sampingnya. Semoga bisa membantu Anda.Catatan Kaki[1] Kelangsungan Hidup Pasien Kanker Meningkat[2] Kelangsungan Hidup Penderita Kanker Meningkat[3] Surviving Cancer: Yesterday, Today, and Tomorrow"
Apa penyebab dari kanker mulut? Bagaimana mengobatinya?,"Penyebab kanker sangatlah multifaktorial, terkadang juga idiopatik atau sulit dideteksi penyebabnya. Pada kanker mulut, kasus yang terjadi berdasarkan kenyataan ada yang disebabkan karena merokok, menginang, ataupun terkena radiasi. Untuk pengobatan, silahkan memeriksakan diri ke dokter gigi spesialis penyakit mulut (Sp.PM), biasanya selalu ada di tiap daerah, khususnya rumah sakit daerah. Pengobatan yang dilakukan biasanya akan diberikan obat-obatan, vitamin, dan terapi. Bila diperlukan juga akan dilakukan pemeriksaan lebih mendalam di bidang histopatologi. Semoga membantu."
Apa penyebab utama kanker tenggorokan?,"Kanker tenggorokan merupakan penyakit yang umum terjadi. Tetapi, jenis kanker ini termasuk yang cukup jarang terjadi apabila dibandingkan dengan kanker lainnya. Tingkat keselamatannya tergantung pada stadium kanker dan keparahannya. Sekitar 60,7% penderita kanker laring memiliki kesempatan untuk hidup 5 tahun lebih lama. Persentase keselamatan pada pasien kanker faring sedikit lebih tinggi, yaitu sekitar 64,5%. Selain itu, kanker ini merupakan penyakit yang lebih banyak menyerang pasien berjenis kelamin pria dibanding jenis kelamin wanita. Penyebab penyebab terjadinya kanker tenggorokan adalah sebagai berikut:Aktif merokokRokok juga dapat merusak fungsi organ-organ tubuh, terutama tenggorokan. Anda memiliki peluang lebih besar untuk terserang penyakit ini apabila Anda merupakan perokok aktif. Rokok merupakan penyebab utama kanker tenggorokanKonsumsi alkohol berlebihanAlkohol berpotensi merusak berbagai organ tubuh, termasuk tenggorokan. Jika Anda termasuk orang yang sering mengonsumsi minuman beralkohol secara berlebihan, Anda lebih rentan terkena penyakit ini.Terinfeksi human papillomavirus (HPV)Infeksi virus HPV merupakan salah satu jenis infeksi menular seksual. Bila Anda telah terjangkit virus ini, kemungkinan Anda untuk mengalami kanker tenggorokan semakin besar.Kebersihan gigi yang burukGigi Anda juga perlu dijaga kebersihannya karena mulut merupakan tempat yang rawan terserang infeksi bakteri atau virus. Hal ini dapat memengaruhi kesehatan tenggorokan Anda, mengingat letaknya yang berdekatan dengan mulut. Terimakasih"
Apakah kanker dapat disembuhkan?,"Menurut salsa bisa disembuhkan -Ketika orang tersebut memiliki SEMANGAT untuk hidup yang tinggi -Kemudian perubahan gaya hidup lebih sehat -Menjauhi yang negatif - Mendapat dukungan dari orang-orang tersayang Tidak ada yang tidak mungkin didunia ini jika Tuhan sudah berkehendak maka terjadilah,karena penelitian sudah membuktikan bahwa memang pernah terjadi adanya … Sekian dan Terimakasih"
Mengapa belum ada hasil yang lebih baik dalam penyembuhan kanker?,"Perlu diingat bahwa kanker berbeda dengan “penyakit-penyakit” lain pada umumnya. Alih-alih antek asing yang berasal dari luar tubuh, kanker adalah pertumbuhan sel tubuh yang tak terkendali dan menumbalkan sel-sel lain yang tumbuh, berfungsi, dan mati normal. Dengan mengingat hal tersebut, kita bisa sedikit-banyak memahami bahwa “penyakit” ini memiliki banyak sekali atribut atau sifat yang sama dengan sel tubuh yang normal. Menciptakan sebuah metode (diagnostik, radiologi, bedah, obat, rekayasa genetika, dll.) yang bisa membedakan kanker dan sel tubuh normal, atau dengan kata lain spesifik DAN efektif menyerang kanker TANPA turut menyerang dan mengorbankan sel tubuh normal, menjadi tantangan tersendiri dalam penanganan kanker, dibandingkan dengan “penyakit” lainnya. Bahkan setelah miliaran dolar. OP: Mengapa belum ada hasil yang lebih baik dalam penyembuhan kanker?"
Bagaimana di masa dahulu dokter mengobati kanker sebelum teknik pengobatan secanggih sekarang?,"Kebanyakan mati sebelum mereka sempat untuk punya kanker. Sisanya, ada dilakukan pembedahan. Karena anestesi modern baru muncul sekitar tahun 1850 an, ya dilakukan operasi secepat cepat supaya darah hilang tidak banyak banyak. Makin lama sakit, makin cepat denyut jantung, makin banyak darah keluar. Kanker di payudara disembuhkan dengan payudara diangkat. Di kaki tangan, juga. Namun kalau tidak dari awal, ya akan menyebar lagi. Kanker di bagian dalam ndak akan ditemukan sampai mati, baru ketemu ketika autopsi. Contoh kanker yang ditunggu sampai mati seperti jenderal amerika, presiden ke 18 Ulyses Grant kanker kerongkongan, dan napoleon bonaparte, yang ini masih kontroversi apakah kanker abdomen atau penyakit lainUlyses S Grant"
Bagaimana cara mengobati kanker yang sudah dalam tahap metastasis?,"Saya percaya setiap penyakit pasti ada obat nya, kanker sekali pun! Hanya saja kita kadang lupa dan kurang mensyukuri apa yg telah Tuhan berikan dan terlalu pesimis. Ketika Tuhan memilih seseorang entah itu dgn kanker atau penyakit lain nya sesungguh nya Tuhan ingin mengatakan, "" selamat anda terpilih mendapat ampunan"" Istri saya terkena Breast Cancer stadium III B dan sudah menjalani lebih dari sepuluh kali kemoteraphi, Mastektomi dan saat ini masih terlihat sehat, Alhamdulillah. Jika suatu saat nanti Tuhan mengambil nya saya ikhlas dan menerima takdir tsb."
"Apakah pengobatan pasien kanker harus selalu dengan kemoterapi, sedangkan diketahui efeknya bisa merusak sel sehat itu sendiri? Apa yang terjadi jika pasien tidak menjalani kemoterapi?","Kemoterapi merupakan salah satu pengobatan standar untuk kanker, selain bedah dan radiasi. Kemoterapi konvensional memang tidak selektif karena akan juga membunuh sel-sel normal yang aktif membelah. Namun, kini banyak obat terapi tertarget yang sudah banyak tersedia seperti Herceptin yang secara spesifik berikatan pada sel kanker yang mengeskpresikan molekul HER2, yang mana protein ini kurang diekspresikan pada sel normal. Kombinasi obat antara kemoterapi konvensional dengan obat terapi tertarget mampu memperlama usia hidup penderita kanker."
Mengapa pasien tertentu bisa sembuh dari penyakit kanker? Apa faktor dari keberhasilan itu?,"Pertanyaan ini susah untuk dijawab. Tentunya banyak faktor yang mempengaruhi tingkat keberhasilan atau kegagalan. Perbedaan individu pun berpengaruh, artinya dengan penyakit yang sama dan terapi yang sama, belum tentu memberikan hasil yang sama walaupun berdasarkan penelitian dari 100 orang yang mendapatkan terapi hanya sekitar 80 orang yang berhasil sempurna, artinya sekitar 20 orang tidak maksimal. Setiap jenis kanker pun juga memiliki respon yang berbeda-beda. Misalnya dengan terapi ada yang dengan radioterapi (penyinaran) ataupun dengan kemoterapi (obat-obatan), sensitivitas serta reaksi masing-masing penyakit juga tidaklah sama. Seandainya pun sembuh, tidak menutup kemungkinan akan kembali berulang lagi (relaps)."
Apakah bajakah benar-benar bisa menyembuhkan kanker?,"Ia, karena getah dari kayu bajakah untuk melawan kanker dan mematikan kanker di dalam tubuh. Rutin di konsumsi"
